CDTA2020,annee_fin_observation,# of Dwelling Units,Infested Dwelling Unit Count,Eradicated Unit Count,Re-infested  Dwelling Unit Count,taux_infestation,taux_eradication,taux_reinfestation,Borough,pop_num,population_density,pop_pov_pct,pop_pov_u18_pct,pop_65p_pct,unit_num,unit_occ_own_pct,rent_burden_med,med_r_1f,med_r_4f,med_r_cn,med_r_ot,rent_gross_med_adj
BK01,2018,26813.0,154.0,141.0,28.0,0.007827759407867143,0.006880080567325032,0.0013207955085623732,BROOKLYN,162381.0,394.0,0.237,0.409,0.094,71130.0,0.158,28.2,2212230.0,878850.0,1132000.0,411240.0,2180.0
BK01,2019,21740.0,86.0,63.0,4.0,0.0036513625678449902,0.002054500187755927,0.0003086026077097506,BROOKLYN,151308.0,367.0,0.201,0.452,0.10300000000000001,69661.0,0.177,25.1,1823190.0,905520.0,1232830.0,463820.0,2340.0
BK01,2020,59308.0,132.0,120.0,54.0,0.0036543820877622795,0.003236147039665249,0.0021287797075289646,BROOKLYN,159580.0,387.0,0.188,0.33299999999999996,0.087,77305.0,0.146,28.3,2119760.0,815660.0,1105400.0,452880.0,2370.0
BK01,2021,64778.0,106.0,95.0,17.0,0.0021671043800695795,0.0016944008597175445,0.001034067222511725,BROOKLYN,159580.0,387.0,0.188,0.33299999999999996,0.087,77305.0,0.146,28.3,1988370.0,771110.0,1214500.0,415610.0,2580.0
BK01,2022,72240.0,140.0,137.0,89.0,0.0006727257668099534,0.000628114774661488,0.00021524803711634548,BROOKLYN,186944.0,453.0,0.188,0.34600000000000003,0.10099999999999999,89534.0,0.161,26.2,2416480.0,864330.0,1210890.0,453050.0,2330.0
BK01,2023,79104.0,125.0,114.0,49.0,0.0016871833291284724,0.001497610787179139,0.0008081461128171974,BROOKLYN,186944.0,453.0,0.188,0.34600000000000003,0.10099999999999999,89534.0,0.161,26.2,1199500.0,805.0,1175000.0,450000.0,2330.0
BK01,2024,50314.0,56.0,53.0,2.0,0.0010144107131823984,0.0009383839517623786,5.057335737735238e-05,BROOKLYN,186944.0,453.0,0.188,0.34600000000000003,0.10099999999999999,89534.0,0.161,26.2,1199500.0,805.0,1175000.0,450000.0,2330.0
BK02,2018,35224.0,269.0,268.0,23.0,0.01000587509149864,0.00996326206043374,0.0042593184553212,BROOKLYN,145843.0,469.0,0.159,0.17600000000000002,0.10099999999999999,68858.0,0.313,27.4,4347310.0,1132590.0,1547380.0,515010.0,2490.0
BK02,2019,27182.0,166.0,161.0,18.0,0.00286281710854703,0.002785517131969961,0.00027572676970101675,BROOKLYN,133346.0,428.0,0.138,0.156,0.11800000000000001,69023.0,0.29100000000000004,25.9,3820020.0,1196170.0,1446980.0,460000.0,2570.0
BK02,2020,50961.0,183.0,183.0,50.0,0.003814206439474745,0.003814206439474745,0.0014286695543016055,BROOKLYN,147130.0,473.0,0.125,0.151,0.125,76605.0,0.308,26.7,4054570.0,1006100.0,1308840.0,511340.0,2810.0
